Fuel,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Coal,231500,222842,239347,224518,219276,208864,191761,170704,152914,148791,142263,134222,133838,123427,111395,84531,80322,69295,57400,49312,41957,31291,17278,16340,17661
Oil,17395,21418,21168,16631,18935,19811,15351,25182,23792,25992,29480,31623,31603,35682,34581,14066,14557,41014,41401,42279,40380,34888,35310,27182,18857
Gas,130458,144835,111937,115717,103184,70278,81332,82360,72656,62154,59399,42492,41774,33615,29461,29668,27157,31823,27050,19507,18427,14488,12187,9935,9604
Biofuels,1461,1109,964,992,794,515,493,367,198,163,175,128,122,54,57,71,56,77,403,250,0,0,0,0,0
Waste,696,654,700,647,313,200,174,206,149,131,193,119,109,56,36,26,3,2,0,0,0,0,0,0,0
Nuclear,156407,138784,150327,154723,148596,147771,150958,142937,148749,146779,130715,129672,119103,112133,108964,103064,89689,77086,73924,67029,58651,58138,56530,56311,52887
Hydro,7820,8394,7652,7831,6472,5641,5563,5042,5219,5189,5880,6903,5311,5972,5610,6066,6099,5403,5201,5478,4098,6006,4863,5051,6361
Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,2557,1605,1103,917,772,566,285,70,31,15,10,8,7,6,5,5,4,3,3,2,2,2,2,1,1
Wind,1146,1149,917,863,817,685,436,376,239,130,47,25,15,13,17,6,2,1,0,0,1,1,0,0,0
Tide,492,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Others,1001,722,503,447,349,173,75,72,74,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
